id,question,answer,category,table_id,output,answer_format
331,How many years before his death did Raymond Poulidor win the silver medal for France?,45,cycling,104,"To determine how many years before his death Raymond Poulidor won the silver medal, we need to follow these steps:

1. Identify the year Poulidor won the silver medal.
2. Determine the year of his death.
3. Calculate the difference between these two years.

From the table:
- Poulidor won the silver medal at the 1974 World Championship in Montreal.
- Poulidor died on 13 November 2019.

Calculating the difference:
2019 (year of death) - 1974 (year of silver medal win) = 45 years

Therefore, Raymond Poulidor won the silver medal 45 years before his death.
Final Answer: 45 years",<num_years>
332,How many years before Kapil Dev's last ODI did he start playing for Worcestershire?,10,cricket,52,"To determine how many years before Kapil Dev's last ODI he started playing for Worcestershire, we need to follow these steps:

1. Identify the year Kapil Dev's last ODI match took place.
2. Identify the years he played for Worcestershire.
3. Calculate the difference in years between these two points.

From the information given:
- Kapil Dev's last ODI match was on 17 October 1994.
- He played for Worcestershire from 1984-1985.

Now, calculate the difference:
1994 (last ODI) - 1984 (start year for Worcestershire) = 10 years.

Final Answer: 10 years",<num_years>
333,How many years before Singh played for HC Klein Zwitserland did he play for the Indian national team?,8,hockey,486,"To determine how many years before Singh played for HC Klein Zwitserland he played for the Indian national team, we need to look at the relevant time periods.

From the table, we can see that:
- Singh played for the Indian national team from 1997 to 2007.
- He played for HC Klein Zwitserland in the Hoofdklasse during the 2005-2007 period.

Since his national team career spanned from 1997 to 2007 and his HC Klein Zwitserland career started in 2005, we need to calculate the difference between these years.

First, let's find the earliest year of his national team career:
- The earliest year mentioned for the Indian national team is 1997.

Next, we identify the latest year he played for HC Klein Zwitserland:
- The latest year mentioned for HC Klein Zwitserland is 2007.

Now, we calculate the difference between 1997 and 2005:
2005 - 1997 = 8 years.

Therefore, Singh played for the Indian national team 8 years before he played for HC Klein Zwitserland.
Final Answer: 8 years",<num_years>
334,What is the average of the minimum and maximum military age in the Republic of Korea Armed Forces?,23,army,1121,"From the table, we can see that the military age for the Republic of Korea Armed Forces is 18 years old. Since the information provided does not specify any range or variation in military age, it implies that the minimum and maximum military age are both 18 years old.

To find the average of the minimum and maximum military age, we add them together and divide by 2:
(18 + 18) / 2 = 36 / 2 = 18

Final Answer: 18",<num_years>
335,How many years before the 2019 World Aquatics Championships did the previous World Aquatics Championships occur?,2,sports event,1032,"To determine how many years before the 2019 World Aquatics Championships the previous event occurred, we need to look at the information provided in the table. Specifically, the table mentions ""← 2017 | 2022 →"" under the medalists section, which indicates the years of the championships immediately preceding and following the 2019 event.

Since 2019 is mentioned and the arrow points to 2017, it means the 2017 World Aquatics Championships were held two years prior to the 2019 event.

Final Answer: 2 years",<num_years>
336,In what year did Riccardo Gabriele Patrese compete in the Japanese Grand Prix?,1992,f1,261,"To determine the year Riccardo Gabriele Patrese competed in the Japanese Grand Prix, we can look at the information provided in the ""First win"" and ""Last win"" entries of his Formula One World Championship career.

- First win: 1982 Monaco Grand Prix
- Last win: 1992 Japanese Grand Prix

From this, we know that Riccardo Gabriele Patrese won the Japanese Grand Prix in 1992. Since the question asks for the year he competed in the Japanese Grand Prix, and given that he had his last win there, it is reasonable to conclude that the year he competed in the Japanese Grand Prix was 1992.

Final Answer: 1992",yyyy
337,How many years before the commissioning of HMS Argyll was it laid down?,4,ship,223,"To determine how many years before the commissioning of HMS Argyll it was laid down, we need to find the difference between the commissioning date and the laid-down date.

1. Commissioned date: 31 May 1991
2. Laid down date: 20 March 1987

First, let's calculate the difference in years:
- From 1987 to 1991 is 4 years.

Next, we need to account for the difference in months:
- 31 May 1991 - 20 March 1987

Since 20 March 1987 is earlier than 31 May 1991, we can break this down into:
- From 20 March 1987 to 31 December 1987: 9 months
- From 1 January 1988 to 31 May 1991: 16 months and 30 days

Adding these together:
9 months + 16 months + 30 days = 25 months

Now, convert 25 months to years and months:
- 25 months = 2 years and 1 month

So, the total time from the laid-down date to the commissioning date is:
4 years (from 1987 to 1991) + 2 years and 1 month = 6 years and 1 month

Therefore, HMS Argyll was laid down 6 years before its commissioning.

Final Answer: 6 years",<num_years>
338,How many years before the end of the emergency did Southern Rhodesia cease being a belligerent?,7,proxy war,997,"From the information given in the table, we can see that Southern Rhodesia participated until 1953, and the Emergency ended on 31 July 1960. To find out how many years before the end of the Emergency Southern Rhodesia ceased being a belligerent, we need to calculate the difference between these two dates.

First, let's determine the exact number of years:
- The Emergency ended on 31 July 1960.
- Southern Rhodesia ceased being a belligerent in 1953.

Subtracting the year Southern Rhodesia ceased from the year the Emergency ended:
1960 - 1953 = 7 years

Therefore, Southern Rhodesia ceased being a belligerent 7 years before the end of the Emergency.
Final Answer: 7 years",<num_years>
339,How many years before the end of the war did DR Sudan end its support?,2,proxy war,975,"To determine how many years before the end of the Chadian-Libyan conflict DR Sudan ended its support, we need to identify the relevant dates:

1. **End of the war**: According to the table, the conflict ended on 11 September 1987.
2. **DR Sudan's support period**: The table indicates that DR Sudan supported the anti-Libyan Chadian factions from 1978 to 1985.

Now, calculate the difference in years between the end of the war and the end of DR Sudan's support:

\[ 1987 \text{ (end of the war)} - 1985 \text{ (end of DR Sudan's support)} = 2 \text{ years} \]

Therefore, DR Sudan ended its support 2 years before the end of the war.

Final Answer: 2 years",<num_years>
340,How many years before the end of the war was the Third Liberation Army formed?,11,proxy war,974,"To determine how many years before the end of the war the Third Liberation Army was formed, we need to follow these steps:

1. Identify the end date of the Chadian Civil War: According to the table, the Chadian Civil War ended in November 1979.
2. Identify when the Third Liberation Army was formed: From the table, it states that the Third Liberation Army was formed from 1968.
3. Calculate the difference between the end of the war and the formation of the Third Liberation Army: 
   - End of the war: November 1979
   - Formation of the Third Liberation Army: 1968
   - Difference: 1979 - 1968 = 11 years

Therefore, the Third Liberation Army was formed 11 years before the end of the Chadian Civil War.
Final Answer: 11 years",<num_years>
341,How many years before the Königssee bobsleigh Two-man at the IBSF World Championships was a similar contest held?,1,sports event,203,"The table provides information about the IBSF World Championships 2017 for the Two-man bobsleigh event held at the Königssee bobsleigh, luge, and skeleton track in Königsee, Germany. It does not provide any information about previous years or events. Therefore, we cannot determine how many years before this event a similar contest was held based solely on the given data.
Final Answer: The information provided does not allow us to determine the number of years before the 2017 event when a similar contest was held.",<num_years>
342,How many years before the war began did Abdul Karim Qasim become a leader?,3,proxy war,981,"To determine how many years before the First Kurdish-Iraqi War began that Abdul Karim Qasim became a leader, we need to follow these steps:

1. Identify the start date of the war.
2. Determine when Abdul Karim Qasim became a leader.
3. Calculate the difference between these two dates.

Step 1: The war began on 11 September 1961 and ended in March 1970.

Step 2: According to the table, Abdul Karim Qasim became a leader in 1958-1963.

Step 3: Calculate the difference:
- Start of the war: 1961
- Qasim's leadership period starts: 1958

Difference: 1961 - 1958 = 3 years

Final Answer: Abdul Karim Qasim became a leader 3 years before the war began.",<num_years>
343,How many years before the war ended did Southern Rhodesia cease being a belligerent?,14,proxy war,1001,"To determine how many years before the war ended Southern Rhodesia ceased being a belligerent, we need to identify the end date of the war and when Southern Rhodesia stopped participating.

1. From the table, the Rhodesian Bush War ended on 12 December 1979.
2. Southern Rhodesia is listed as a belligerent until 1979, but there's a specific mention of Zimbabwe Rhodesia as a belligerent in 1979.

This indicates that Southern Rhodesia, under the name Zimbabwe Rhodesia, continued its involvement until the end of the war in 1979. Therefore, Southern Rhodesia did not cease being a belligerent before the war ended; it was still involved at the end.

Final Answer: 0 years (Southern Rhodesia was still a belligerent at the end of the war in 1979.)",<num_years>
344,How many years before the war ended did the Republic of the Congo stop being a belligerent?,2,proxy war,978,"To determine how many years before the war ended the Republic of the Congo stopped being a belligerent, we need to follow these steps:

1. Identify the start and end dates of the war.
2. Determine when the Republic of the Congo stopped participating.
3. Calculate the difference in years between the end of the war and when the Republic of the Congo ceased participation.

From the information given:
- The war started on 5 July 1960 and ended on 25 November 1965.
- According to the table, the Republic of the Congo was a belligerent from 1960 to 1963.

The war ended on 25 November 1965, and the Republic of the Congo stopped being a belligerent in 1963. 

Now, calculate the difference:
1965 (end of the war) - 1963 (when Republic of the Congo stopped being a belligerent) = 2 years.

Therefore, the Republic of the Congo stopped being a belligerent 2 years before the war ended.
Final Answer: 2 years",<num_years>
345,How many years before the war ended did the Republic of the Sudan stop being a belligerent?,3,proxy war,982,"To determine how many years before the First Sudanese Civil War ended that the Republic of the Sudan stopped being a belligerent, we need to identify when the Republic of the Sudan became a belligerent and when the war ended.

From the information given:
- The war began on 18 August 1955.
- The war ended on 27 March 1972.
- The Republic of the Sudan started as Anglo-Egyptian Sudan until 1956.

The Republic of the Sudan became a belligerent right after its formation in 1956, continuing until the end of the war in 1972.

Calculating the difference:
1972 (end of the war) - 1956 (when Republic of the Sudan became a belligerent) = 16 years.

Therefore, the Republic of the Sudan was a belligerent for 16 years before the war ended.

Final Answer: 16 years",<num_years>
346,How many years before Zoetemelk first won the Paris–Nice stage race did he win gold at the Olympics?,6,cycling,103,"To determine how many years before Zoetemelk first won the Paris–Nice stage race he won gold at the Olympics, we need to identify the years of his first Paris–Nice win and his Olympic gold medal win.

From the table:
- Zoetemelk won the Paris–Nice stage race in 1974.
- He won the Olympic gold medal in 1968.

Now, calculate the difference between these years:
1974 (first Paris–Nice win) - 1968 (Olympic gold medal) = 6 years.

Therefore, Zoetemelk won the Paris–Nice stage race 6 years after he won the Olympic gold medal.
Final Answer: 6 years",<num_years>
347,How many years did Brian Lara play for Team Trinidad and Tobago?,21,cricket,528,"To determine how many years Brian Lara played for Team Trinidad and Tobago, we need to look at the domestic team information provided in the table. According to the table, Lara played for Trinidad and Tobago from 1987 to 2008.

Let's calculate the duration:
2008 (end year) - 1987 (start year) = 21 years

Therefore, Brian Lara played for Team Trinidad and Tobago for 21 years.

Final Answer: 21 years",<num_years>
348,How many years did Chiyonofuji Mitsugu compete?,21,sumo,131,"To determine how many years Chiyonofuji Mitsugu competed, we need to find the difference between his retirement date and his debut date.

1. Debut date: September, 1970
2. Retirement date: May, 1991

Now, calculate the time span:
- From September 1970 to August 1990: 20 years
- From September to May (inclusive): 8 months

Therefore, the total competition period is 20 years and 8 months. Since the question asks for the number of years, we can round this down to 20 years.

Final Answer: 20 years",<num_years>
349,How many years did Dhyan Chand serve in the army?,34,hockey,524,"To determine how many years Dhyan Chand served in the army, we need to look at his years of service. According to the table, his years of service were from 1922 to 1956.

To find the duration, we subtract the start year from the end year:
1956 - 1922 = 34 years

Therefore, Dhyan Chand served in the army for 34 years.",<num_years>
350,How many years did Don Bradman play for the national side?,20,cricket,527,"To determine how many years Don Bradman played for the national side, we need to look at his Test debut and last Test dates.

- Bradman's Test debut was on 30 November 1928.
- His last Test was on 18 August 1948.

Now, let's calculate the difference in years:

1. From 30 November 1928 to 31 December 1928: 1 month (approximately 1/12th of a year)
2. From 1 January 1929 to 31 December 1947: 19 full years
3. From 1 January 1948 to 18 August 1948: 7 months (approximately 7/12th of a year)

Adding these up:
\[ \frac{1}{12} + 19 + \frac{7}{12} = \frac{1+7}{12} + 19 = \frac{8}{12} + 19 = \frac{2}{3} + 19 \approx 19.67 \]

Since we typically round to whole years in this context, we can say that Don Bradman played for the national side for approximately 19 or 20 years.

Final Answer: 20 years",<num_years>
351,What year did Kimi Räikkönen marry Jenni Dahlman?,2004,f1,344,"To determine when Kimi Räikkönen married Jenni Dahlman, I'll look at the information provided in the table under ""Spouse(s)"".

The relevant information is:
Jenni Dahlman | ( | married |  2004; | divorced |  2014)

This indicates that Kimi Räikkönen married Jenni Dahlman in 2004.

Final Answer: 2004",yyyy
352,How many years did DR Sudan support the Chadian–Libyan conflict?,7,proxy war,975,"To determine how many years DR Sudan supported the Chadian-Libyan conflict, we need to look at the time periods mentioned for their support. According to the table, DR Sudan supported the anti-Libyan Chadian factions from 1978 to 1985. 

1. Start year of support: 1978
2. End year of support: 1985

Now, calculate the difference:
1985 - 1978 = 7 years

Therefore, DR Sudan supported the Chadian-Libyan conflict for 7 years.
Final Answer: 7 years",<num_years>
353,How many years did Harumafuji Kōhei compete before retiring in 2017?,16,sumo,139,"To determine how many years Harumafuji Kōhei competed before retiring in 2017, we need to find his debut year and then calculate the difference between his retirement year and his debut year.

From the table, we can see that Harumafuji Kōhei debuted in January 2001 and retired on November 29, 2017.

Let's calculate the number of years:
2017 - 2001 = 16 years

Therefore, Harumafuji Kōhei competed for 16 years before retiring in 2017.

Final Answer: 16 years",<num_years>
354,How many years did it take for HMS Somerset to be commissioned after being ordered?,4,ship,224,"To determine how many years it took for HMS Somerset to be commissioned after being ordered, we need to calculate the difference between the commissioning date and the order date.

1. Order date: January 1992
2. Commissioning date: September 1996

From January 1992 to September 1996:
- From January 1992 to December 1992: 1 year
- From January 1993 to December 1993: 1 year
- From January 1994 to December 1994: 1 year
- From January 1995 to December 1995: 1 year
- From January 1996 to September 1996: 8 months (which is less than a full year)

Adding these together, it took 4 full years plus 8 months, but since the question asks for the number of years, we can round this to 4 years.

Final Answer: 4 years",<num_years>
355,How many years did it take for HMS Somerset to be commissioned after its launch?,2,ship,224,"To determine how many years it took for HMS Somerset to be commissioned after its launch, we need to find the difference between the commissioning date and the launch date.

From the table:
- Launched: 25 June 1994
- Commissioned: 20 September 1996

Now, calculate the time difference:
- From 25 June 1994 to 20 September 1996

We can break this into two parts:
1. From 25 June 1994 to 31 December 1994
2. From 1 January 1995 to 20 September 1996

For the first part:
- From 25 June to 31 December 1994: 
  - June: 31 - 25 = 6 days
  - July: 31 days
  - August: 31 days
  - September: 30 days
  - October: 31 days
  - November: 30 days
  - December: 31 days
  Total = 6 + 31 + 31 + 30 + 31 + 30 + 31 = 180 days

For the second part:
- From 1 January 1995 to 20 September 1996
  - 1995: 365 days
  - 1996: 366 days (leap year)
  - From 1 January to 20 September 1996:
    - January: 31 days
    - February: 29 days
    - March: 31 days
    - April: 30 days
    - May: 31 days
    - June: 30 days
    - July: 31 days
    - August: 31 days
    - September: 20 days
  Total = 365 + 366 + 31 + 29 + 31 + 30 + 31 + 31 + 20 = 1392 days

Adding both parts together:
180 days (first part) + 1392 days (second part) = 1572 days

",<num_years>
356,How many years did it take for HMS Victory to be launched after being laid down?,6,ship,1115,"To determine how many years it took for HMS Victory to be launched after being laid down, we need to find the difference between its launch date and its laying-down date.

From the table:
- Laid down: 23 July 1759
- Launched: 7 May 1765

First, calculate the time difference in years:
- From 23 July 1759 to 31 December 1759: 4 months and 8 days
- From 1 January 1760 to 31 December 1764: 5 full years
- From 1 January 1765 to 7 May 1765: 4 months and 7 days

Adding these periods together:
- 5 full years + (4 months and 8 days from 23 July 1759 to 31 December 1759) + (4 months and 7 days from 1 January 1765 to 7 May 1765)

The total period is exactly 5 years, as the additional months and days cancel out when considering the full years.

Final Answer: 5 years",<num_years>
357,How many years did it take for Rubens Barrichello to get his first win in Formula One?,7,f1,51,"To determine how many years it took for Rubens Barrichello to get his first win in Formula One, we need to look at the first and last entries in his Formula One career.

From the table, we can see:
- His first entry was in the 1993 South African Grand Prix.
- His first win was in the 2000 German Grand Prix.

Now, we calculate the difference in years:
2000 - 1993 = 7 years

Therefore, it took Rubens Barrichello 7 years to get his first win in Formula One.
Final Answer: 7 years",<num_years>
358,How many years did it take for the Ba'ath Brigades to become the paramilitary wing of the Arab Socialist Ba'ath Party – Syria Region?,6,political party,183,"To determine how many years it took for the Ba'ath Brigades to become the paramilitary wing of the Arab Socialist Ba'ath Party – Syria Region, we need to identify when they were established and when they became the paramilitary wing.

From the information provided:
- The party was founded on 7 April 1947.
- The Ba'ath Brigades are mentioned as existing from 2012 to 2018 as the paramilitary wing.

Calculating the duration:
- From 2012 to 2018 is a span of 6 years.

Therefore, it took 6 years for the Ba'ath Brigades to become the paramilitary wing of the Arab Socialist Ba'ath Party – Syria Region.
Final Answer: 6 years",<num_years>
359,What year did Michael Schumacher win his first championship?,1994,f1,345,"To determine the year Michael Schumacher won his first championship, I'll look at the information provided in the ""Formula One World Championship career"" section of the table.

The ""Championships"" row lists the years of his seven championships: 1994, 1995, 2000, 2001, 2002, 2003, and 2004.

The earliest year listed here is 1994.

Therefore, Michael Schumacher won his first championship in 1994.
Final Answer: 1994",yyyy
360,How many days elapsed between the first reported COVID-19 case and the first hospitalization?,14,disease,1205,"To determine the number of days between the first reported COVID-19 case and the first hospitalization, we need to identify the dates provided for both events.

1. **First reported case**: September 30, 2020
2. **First hospitalized case**: October 15, 2020

Next, we calculate the difference between these two dates:

- From September 30 to October 14 (inclusive) is 15 days.
- Adding the day of October 15 gives us 16 days.

Therefore, the number of days between the first reported case and the first hospitalization is 16 days.

Final Answer: 16 days",<num_days>
361,How many months after turning 28 did Kaiō Hiroyuki achieve Ōzeki?,2,sumo,145,"To determine how many months after turning 28 Kaiō Hiroyuki achieved the rank of Ōzeki, we need to follow these steps:

1. Determine when Kaiō Hiroyuki turned 28.
2. Identify the month he achieved the rank of Ōzeki.
3. Calculate the difference in months between these two points.

Step 1: Kaiō Hiroyuki was born on July 24, 1972. Turning 28 would be in July 1980.

Step 2: According to the data, Kaiō Hiroyuki achieved the rank of Ōzeki in September 2000.

Step 3: Calculate the difference:
- From July 1980 to August 1980: 1 month
- From August 1980 to September 1980: 2 months

Therefore, Kaiō Hiroyuki achieved the rank of Ōzeki 2 months after turning 28.

Final Answer: 2 months",<num_months>
362,What is the current time in the Newfoundland Time Zone?,11:26 p.m.,time zone,35,"To determine the current time in the Newfoundland Time Zone, we need to consider both the standard time (NST) and daylight saving time (NDT).

1. From the table, we see that the current date is June 28, 2022.
2. The table also indicates that DST is observed throughout this time zone.
3. The current time given for NST is 08:25, and for NDT, it is 09:25.
4. Since DST is in effect, the current time should be based on NDT.

Therefore, the current time in the Newfoundland Time Zone is 09:25, 28 June 2022.
Final Answer: 09:25, 28 June 2022",H:MM %p
363,How many months ago did COVID-19 arrive in Johor?,35,disease,1204,"To determine how many months ago COVID-19 arrived in Johor, we need to compare the arrival date to the current date, which is December 2022.

The arrival date given in the table is 25 January 2020.

Step 1: Calculate the difference in years.
From January 2020 to December 2022, there are 2 full years.

Step 2: Convert the years into months.
2 years * 12 months/year = 24 months.

Step 3: Consider the current month.
Since we are comparing up to December 2022 and the arrival was in January 2020, we need to account for the remaining months in January 2020.
January has 31 days, and the arrival date is 25 January 2020, which means there are 7 days left in January 2020.

Step 4: Add the remaining days to the total months.
24 months + 7/30 (approximating 7 days as a fraction of a month) ≈ 24.23 months.

Therefore, approximately 24 months have passed since the arrival of COVID-19 in Johor.

Final Answer: 24 months",<num_months>
364,What is the difference in days between Black Friday in 2024 and 2022?,4,holiday,214,"To find the difference in days between Black Friday in 2024 and 2022, we need to determine the dates for both years and then calculate the difference.

From the table, we can see:
- Black Friday in 2022 was observed on November 25, 2022.
- Black Friday in 2024 will be observed on November 29, 2024.

Now, let's calculate the difference:
- In 2022, Black Friday was on November 25.
- In 2024, Black Friday will be on November 29.

We can count the days from November 25 to November 29:
- November 26 (1 day)
- November 27 (2 days)
- November 28 (3 days)
- November 29 (4 days)

Therefore, the difference is 4 days.

Final Answer: 4 days",<num_days>
365,How many years did it take for the Citizen Revolution Movement to be registered after its founding?,6,political party,182,"The table shows that the Citizen Revolution Movement (Movimiento Revolución Ciudadana) was founded in August 2021 (modern) and registered on 18 August 2016.

To find out how many years it took for the movement to be registered after its founding, we need to calculate the difference between these dates:
- Founding date: August 2021
- Registration date: August 2016

The difference between August 2021 and August 2016 is 5 years.

Final Answer: 5 years",<num_years>
366,How many years did it take for the HMS Astute to be ordered and then launched?,10,ship,1114,"To determine how many years it took for the HMS Astute to be ordered and then launched, we need to calculate the time difference between the order date and the launch date.

1. Order date: March 1997
2. Launch date: June 8, 2007

First, let's find the difference in years:

- From March 1997 to March 2007 is exactly 10 years.
- From March 2007 to June 8, 2007, is 3 months and 8 days.

Since the question asks for the number of years, we can consider the full years:

10 years.

Final Answer: 10 years",<num_years>
367,How many years did it take from the founding of the party until it was formally registered?,6,political party,182,"The table shows that the Citizen Revolution Movement (Movimiento Revolución Ciudadana) was founded historically in August 2021 and officially registered on 18 August 2016.

To find out how many years it took from the founding until registration, we need to calculate the difference between these dates:
- Founding: August 2021
- Registration: 18 August 2016

Since both dates are in August, we can directly compare the years:
2021 - 2016 = 5 years

Final Answer: 5 years",<num_years>
368,How many years did it take Jenson Button to win his second championship?,9,f1,0,"To determine how many years it took Jenson Button to win his second championship, we need to identify when he won his first championship and when he won his second championship.

From the information provided:
- Jenson Button won his Formula One World Championship in 2009.
- His Super GT GT500 Championship debut season was in 2017.
- He won his first and only Super GT GT500 Championship in 2018.

Therefore, it took him 1 year to win his second championship after starting in Super GT.

Final Answer: 1 year",<num_years>
369,What year did Shohei Yamamoto begin playing for Mito Hollyhock?,2002,boxing,484,"To determine when Shohei Yamamoto began playing for Mito Hollyhock, I'll look at the ""Senior career"" section of the table.

The relevant row states: 
2002-2003 | Mito HollyHock | 27 | (0)

This indicates that Shohei Yamamoto began playing for Mito HollyHock in 2002.

Final Answer: 2002",yyyy
370,How many years did it take the Saudi Arabian Armed Forces to assume their current form after their founding?,198,army,1122,"To determine how many years it took for the Saudi Arabian Armed Forces to assume their current form after their founding, we need to look at the years mentioned for when they were founded and when they reached their current form.

From the table:
- Founded: 1745
- Current form: 1943

Now, we calculate the difference between these two years:
1943 - 1745 = 198 years

Therefore, it took 198 years for the Saudi Arabian Armed Forces to assume their current form after their founding.
Final Answer: 198 years",<num_years>
371,"What is the difference of the rotation period between Mars and Earth in minutes, rounded to the nearest integer?",40,planet,1137,"To find the difference in rotation periods between Mars and Earth, we need to first determine their respective rotation periods.

From the table:
- Mars' sidereal rotation period is 1.025957 days or 24 hours 37 minutes 22.7 seconds.
- Earth's sidereal rotation period is approximately 24 hours.

First, convert both periods into minutes:
- Mars' rotation period in minutes: \( 24 \times 60 + 37 \times 60 + 22.7 = 1440 + 2220 + 22.7 = 3682.7 \) minutes.
- Earth's rotation period in minutes: \( 24 \times 60 = 1440 \) minutes.

Next, calculate the difference:
\[ 3682.7 - 1440 = 2242.7 \]

Rounding 2242.7 to the nearest integer gives us 2243.

Final Answer: 2243",<num_minutes>
372,How many years did it take the Saudi Arabian Armed Forces to deploy personnel to Yemen after deploying to Bahrain?,4,army,1122,"To determine how many years it took for the Saudi Arabian Armed Forces to deploy personnel to Yemen after deploying to Bahrain, we need to look at the dates of deployment to both countries.

From the information provided:
- Deployment to Bahrain: 14 March 2011
- Deployment to Yemen: 26 March 2015

Now, calculate the difference between these two dates:
2015 - 2011 = 4 years

Therefore, it took 4 years for the Saudi Arabian Armed Forces to deploy personnel to Yemen after deploying to Bahrain.

Final Answer: 4 years",<num_years>
373,How many years did it take to build HMS Somerset?,2,ship,224,"To determine how many years it took to build HMS Somerset, we need to find the difference between the year it was laid down and the year it was launched.

From the table:
- Laid down: 12 October 1992
- Launched: 25 June 1994

Calculating the time difference:
- From 12 October 1992 to 31 December 1992: 2 months and 19 days
- From 1 January 1993 to 31 December 1993: 1 year
- From 1 January 1994 to 25 June 1994: 5 months and 24 days

Adding these periods together, we get approximately 1 year and 7 months.

Final Answer: Approximately 1.6 years",<num_years>
374,How many years did Jenson Button race?,17,f1,259,"To determine how many years Jenson Button raced in Formula One, we need to look at his active years. According to the table, Jenson Button's active years in Formula One were from 2000 to 2017.

To calculate the number of years he raced, we subtract the starting year from the ending year:
2017 - 2000 = 17 years

Therefore, Jenson Button raced for 17 years in Formula One.
Final Answer: 17 years",<num_years>
375,How many years did Neo Hom support belligerents in the Insurgency in Laos?,26,proxy war,987,"To determine how many years Neo Hom supported belligerents in the Insurgency in Laos, we need to identify the time period during which Neo Hom was involved.

From the information given:
- Neo Hom's involvement period is listed as 1981-2007.

Now, we calculate the duration:
- Start year: 1981
- End year: 2007

Subtract the start year from the end year:
2007 - 1981 = 26 years

Therefore, Neo Hom supported belligerents for 26 years in the Insurgency in Laos.

Final Answer: 26 years",<num_years>
376,How many years did Pau Quemada play for Real Club de Polo?,2,hockey,41,"To determine how many years Pau Quemada played for Real Club de Polo, we need to look at his senior career timeline provided in the table.

From the table, we can see that:
- His career at Real Club de Polo spans from 2009 to 2011.

Calculating the duration:
- 2009 (start) to 2011 (end) = 2011 - 2009 = 2 years

Therefore, Pau Quemada played for Real Club de Polo for 2 years.

Final Answer: 2 years",<num_years>
377,How many years did Pau Quemada play in the senior division?,16,hockey,41,"To determine how many years Pau Quemada played in the senior division, we need to look at his senior career timeline:

1. 2005-2006: Laren
2. 2006-2009: Leuven
3. 2009-2011: Real Club de Polo
4. 2011-2016: Leuven
5. 2016-2021: Club Egara
6. 2021-present: Leuven

Now, let's count the years for each stint:
- Laren: 2005-2006 (2 years)
- Leuven: 2006-2009 (4 years)
- Real Club de Polo: 2009-2011 (2 years)
- Leuven: 2011-2016 (5 years)
- Club Egara: 2016-2021 (5 years)

Adding these up: 2 + 4 + 2 + 5 + 5 = 18 years

Final Answer: Pau Quemada played in the senior division for 18 years.",<num_years>
378,How many years did Sachin Tendulkar play for the national side?,24,cricket,526,"To determine how many years Sachin Tendulkar played for the national side, we need to look at his Test and ODI debut dates and his last appearances.

- Test debut: 15 November 1989
- Last Test: 14 November 2013
- ODI debut: 18 December 1989
- Last ODI: 18 March 2012

We calculate the duration by subtracting the debut date from the last appearance date for both formats.

For Tests:
2013 - 1989 = 24 years

For ODIs:
2012 - 1989 = 23 years

Since the question asks about his time on the national side, we consider both formats together. However, if we need to specify a single number, we can use the longer duration, which is 24 years for Tests.

Final Answer: 24 years",<num_years>
379,What is the difference of the synodic period between Mars and Earth in years?,1.135,planet,1137,"To find the difference in synodic periods between Mars and Earth, we need to identify the synodic period of Mars and subtract it from the synodic period of Earth.

From the given information:
- Synodic period of Mars: 779.96 days or 2.1354 years
- Synodic period of Earth: 365.25 days or 1 year (approximately)

Now, calculate the difference:
2.1354 years - 1 year = 1.1354 years

Final Answer: 1.1354 years",<num_years>
380,How many years did the Chadian Civil War last?,14,proxy war,974,"To determine how many years the Chadian Civil War lasted, we need to look at the dates provided in the table under the ""Date"" row.

The ""Date"" row states: ""1 November 1965 - November 1979""

This indicates that the conflict began on November 1, 1965, and ended in November 1979.

To calculate the duration:
1979 - 1965 = 14 years

Therefore, the Chadian Civil War lasted for 14 years.
Final Answer: 14 years",<num_years>
382,How many years did the civil war in Chad last?,14,proxy war,974,"To determine how long the Chadian Civil War lasted, we need to look at the dates provided in the table. The war began on ""1 November 1965"" and ended in ""November 1979"".

Step 1: Identify the start year.
Start year = 1965

Step 2: Identify the end year.
End year = 1979

Step 3: Calculate the duration by subtracting the start year from the end year.
Duration = End year - Start year
Duration = 1979 - 1965
Duration = 14 years

Therefore, the Chadian Civil War lasted 14 years.

Final Answer: 14 years",<num_years>
383,How many years did the Defence Force last before its current form?,35,army,1118,"To determine how many years the Federal Defence Forces of Germany lasted before their current form, we need to find the difference between the founding date and the date they assumed their current form.

From the table:
- Founded: 12 November 1955
- Current form: 3 October 1990

First, let's convert both dates to a common format for easier calculation. We can use the year only for this purpose since the exact day and month are not needed for the calculation.

- Founded: 1955
- Current form: 1990

Now, subtract the founding year from the current form year:
1990 - 1955 = 35

Therefore, the Federal Defence Forces of Germany existed in their previous form for 35 years before assuming their current form.
Final Answer: 35 years",<num_years>
384,"How many years did the First Lebanon War, starting in 1982, last?",3,army,1119,"To determine the duration of the First Lebanon War, we need to identify its start and end dates. According to the information provided, the war started in 1982 and ended in 1985. 

Start year: 1982
End year: 1985

To calculate the duration, subtract the start year from the end year:
1985 - 1982 = 3 years

Final Answer: The First Lebanon War lasted for 3 years.",<num_years>
